Sum of Quantity,Column Labels,
Row Labels,2014,Grand Total
Angola,52,52
Benin,11,11
Botswana,24,24
Burkina Faso,60.9,60.9
Burundi,1.1,1.1
C̫te d'Ivoire,188,188
Cabo Verde,11.19,11.19
Cameroon,80,80
Djibouti,18.8,18.8
Egypt,2191,2191
Eritrea,2,2
Ethiopia,7,7
Gabon,23,23
Gambia,2.3,2.3
Ghana,236.4,236.4
Guinea-Bissau,2.94,2.94
Kenya,159.1,159.1
Lesotho,6,6
Liberia,3,3
Madagascar,13,13
Malawi,2.4,2.4
Mali,11.9,11.9
Mauritania,52.7,52.7
Mauritius,71,71
Morocco,2255,2255
Mozambique,23,23
Namibia,12,12
Niger,0,0
Sao Tome and Principe,0.1,0.1
Senegal,112,112
Seychelles,3.43,3.43
Somalia,6.3,6.3
South Africa,25,25
South Sudan,2,2
Sudan,163,163
Togo,7,7
Tunisia,342,342
Uganda,6.87,6.87
United Rep. of Tanzania,69,69
Zimbabwe,14,14
Grand Total,6271.43,6271.43
